doi,title,abstract,publication_date
10.1007/s00236-012-0160-4,An algorithmic study of switch graphs,We derive a variety of results on the algorithmics of switch graphs. On the negative side we prove hardness of the following problems: Given a switch graph  does it possess a bipartite/planar/triangle-free/Eulerian configuration? On the positive side we design fast algorithms for several connectivity problems in undirected switch graphs  and for recognizing acyclic configurations in directed switch graphs.,2012-03-20
10.1007/s00236-007-0065-9,Management of interval probabilistic data,In this paper we present a data model for uncertain data  where uncertainty is represented using interval probabilities. The theory introduced in the paper can be applied to different specific data models  because the entire approach has been developed independently of the kind of manipulated objects  like XML documents  relational tuples  or other data types. As a consequence  our theory can be used to extend existing data models with the management of uncertainty. In particular  the data model we obtain as an application to XML data is the first proposal that combines XML  interval probabilities and a powerful query algebra with selection  projection  and cross product. The cross product operator is not based on assumptions of independence between XML trees from different collections. Being defined with a possible worlds semantics  our operators are proper extensions of their traditional counterparts  and reduce to them when there is no uncertainty. The main practical result of the paper is a set of equivalences that can be used to compare or rewrite algebraic queries on interval probabilistic data  in particular XML and relational.,2012-03-20
10.1007/s002360050129,Nonfinite axiomatizability of the equational theory of shuffle,"Abstract. We consider language structures 
${\bf L}_\Sigma = (P_\Sigma \cdot \otimes + 1 0)$  where 
$P_\Sigma$ consists of all subsets of the free monoid 
$\Sigma^*$; the binary operations 
$\cdot$  
$\otimes$ and 
$+$ are concatenation  shuffle product and union  respectively  and where the constant 0 is the empty set and the constant 1 is the singleton set containing the empty word. We show that the variety Lang generated by the structures 
${\bf L}_\Sigma$ has no finite axiomatization. In fact we establish a stronger result: The variety Lang has no finite axiomatization over the variety of ordered algebras 
${\bf Lg}_\leq$ generated by the structures 
$(P_\Sigma \cdot \otimes 1 \subseteq)$  where 
$\subseteq$ denotes set inclusion.",2013-03-20
10.1007/BF00292115,Optimal worst case trees,SummaryDesign and analysis of sorting and searching algorithms lead to the study of rooted trees with information stored either at the leaves or at all vertices. We consider the problem of minimising the maximum search cost when n items must be stored. Trees which achieve this minimum are almost regular and can usually be found in constant time. If regular trees are used  the maximum cost for a search is nearly best possible. If information is stored at all vertices  the root degree of large optimum trees take on one of two adjacent values  and both usually occur infinitely often for linear cost.,2020-03-20
10.1007/BF00289161,Continuous reductions among combinatorial optimization problems,SummaryMany reductions among combinatorial problems are known in the context of NP-completeness. These reductions preserve the optimality of solutions. However  they may change the “relative error” of approximative solutions dramatically. In this paper  we apply a new type of reductions  called continuous reductions. When one problem is continuously reduced to another  any approximation algorithm for the latter problem can be transformed into an approximation algorithm for the former. Moreover  the performance ratio is preserved up to a constant factor. We relate the problem “Minimum Number of Inverters in CMOS-Circuits”  which arises in the context of logic synthesis  to several “classical” combinatorial problems such as “Maximum Independent Set” and “Deletion of a Minimum Number of Vertices (Edges) in Order to Obtain a Bipartite (Partial) Subgraph”.,2011-03-20
10.1007/s002360050081,On the system of word equations xi1xi2…xim=yi1yi2…yin (i=1  2  …) in a free monoid,Abstract. It is proved that the system of word equations xi1=yi1yi2…yin  i=1  2 …  ⌈n/2⌉ +1  has only cyclic solutions. Some sharpenings concerning the cases n=5  7 and n≥9 are derived as well as results concerning the general system of equations xi1xi2…xim=yi1yi2…yin  i=1  2 … . Applications to test sets of certain bounded languages are considered.,2011-03-20
10.1007/s002360050155,Towards a theory of consistency enforcement,Abstract. State oriented specifications with invariants occur in almost all formal specification languages. Hence the problem is to prove the consistency of the specified operations with respect to the invariants. Whilst the problem seems to be easily solvable in predicative specifications  it usually requires sophisticated verification efforts  when specifications in the style of Dijkstra's guarded commands as e.g. in the specification language B are used. As an alternative consistency enforcement will be discussed in this paper. The basic idea is to replace inconsistent operations by new consistent ones preserving at the same time the intention of the old one. More precisely  this can be formalized by consistent spezializations  where specialization is a specific partial order on operations defined via predicate transformers. It will be shown that greatest consistent specializations (GCSs) always exist and are compatible with conjunctions of invariants. Then under certain mild restrictions the general construction of such GCSs is possible. Precisely  given the GCSs of simple basic assignments the GCS of a complex operation results from replacing involved assignments by their GCSs and the investigation of a guard. In general  GCS construction can be embedded in refinement calculi and therefore strengthens the systematic development of correct programs.,2017-03-20
10.1007/s00236-009-0096-5,The maximum gain of increasing the number of preemptions in multiprocessor scheduling,We consider the optimal makespan C(P  m  i) of an arbitrary set P of independent jobs scheduled with i preemptions on a multiprocessor with m identical processors. We compare the ratio for such makespans for i and j preemptions  respectively  where i < j. This ratio depends on P  but we are interested in the P that maximizes this ratio  i.e. we calculate a formula for the worst case ratio G(m  i  j) defined as $${G(m i j)=\max \frac{C(P m i)}{C(P m j)} }$$ where the maximum is taken over all sets P of independent jobs.,2018-03-20
10.1007/s00236-008-0072-5,Applying relation algebra and RelView to solve problems on orders and lattices,Relation algebra is well suited for dealing with many problems on ordered sets. Introducing lattices via order relations  this suggests to apply it and tools for its mechanization for lattice-theoretical problems  too. We combine relation algebra and the BDD-based specific purpose Computer Algebra system RelView to solve some algorithmic problems on orders and lattices and to visualize their solutions.,2017-03-20
10.1007/BF00264291,The programming language pascal,SummaryA programming language called Pascal is described which was developed on the basis ofAlgol 60. Compared toAlgol 60  its range of applicability is considerably increased due to a variety of data structuring facilities. In view of its intended usage both as a convenient basis to teach programming and as an efficient tool to write large programs  emphasis was placed on keeping the number of fundamental concepts reasonably small  on a simple and systematic language structure  and on efficient implementability. A one-pass compiler has been constructed for the CDC 6000 computer family; it is expressed entirely in terms of Pascal itself.,2017-03-20
10.1007/BF00289311,Best Huffman trees,SummaryGiven a sequence of positive weights  W=w1≧...≧wn>0  there is a Huffman tree  T↑ (“T-up”) which minimizes the following functions: max{d(wi)}; Σd(wi); Σf(d(wi)) wi(here d(wi) represents the distance of a leaf of weight wi to the root and f is a function defined for nonnegative integers having the property that g(x) = f(x + 1) − f(x) is monotone increasing) over the set of all trees for W having minimal expected length. Minimizing the first two functions was first done by Schwartz [5]. In the case of codes where W is a sequence of probabilities  this implies that the codes based on T↑ have all their absolute central moments minimal. In particular  they are the least variance codes which were also described by Kou [3]. Furthermore  there exists a Huffman tree T↓  (“T-down”) which maximizes the functions considered above.However  if g(x) is monotone decreasing  T↑ and T↓  respectively maximize and minimize Σf(d(wi) wi) over the set of all trees for W having minimal expected length. In addition  we derive a number of interesting results about the distribution of labels within Huffman trees. By suitable modifications of the usual Huffman tree construction  (see [1]) T↑ and T↓ can also be constructed in time O(n log n).,2018-03-20
10.1007/BF00288961,A fast algorithm for Steiner trees,SummaryGiven an undirected distance graph G=(V  E  d) and a set S  where V is the set of vertices in G  E is the set of edges in G  d is a distance function which maps E into the set of nonnegative numbers and S⊑V is a subset of the vertices of V  the Steiner tree problem is to find a tree of G that spans S with minimal total distance on its edges. In this paper  we analyze a heuristic algorithm for the Steiner tree problem. The heuristic algorithm has a worst case time complexity of O(¦S¦¦V¦2) on a random access computer and it guarantees to output a tree that spans S with total distance on its edges no more than 2(1−1/l) times that of the optimal tree  where l is the number of leaves in the optimal tree.,2011-03-20
