authorId,doi,decision,content
4044512,10.1007/s00236-012-0160-4,Accepted,Happy Lorem Ipsum
46586500,10.1007/s00236-012-0160-4,Rejected,Angry Lorem Ipsum
145249669,10.1007/s00236-012-0160-4,Accepted,Mild Lorem Ipsum
144099017,10.1007/978-3-319-44479-6_14,Accepted,Happy Lorem Ipsum
49606518,10.1007/978-3-319-44479-6_14,Rejected,Angry Lorem Ipsum
2598718,10.1007/978-3-319-44479-6_14,Accepted,Mild Lorem Ipsum
3215138,10.4230/LIPIcs.ICALP.2018.60,Accepted,Happy Lorem Ipsum
152299194,10.4230/LIPIcs.ICALP.2018.60,Rejected,Angry Lorem Ipsum
73635640,10.4230/LIPIcs.ICALP.2018.60,Accepted,Mild Lorem Ipsum
1687110,10.1016/J.IPL.2017.01.004,Accepted,Happy Lorem Ipsum
3270504,10.1016/J.IPL.2017.01.004,Rejected,Angry Lorem Ipsum
151472410,10.1016/J.IPL.2017.01.004,Accepted,Mild Lorem Ipsum
8041446,10.1016/j.ipl.2017.01.004,Accepted,Happy Lorem Ipsum
152582306,10.1016/j.ipl.2017.01.004,Rejected,Angry Lorem Ipsum
2209054,10.1016/j.ipl.2017.01.004,Accepted,Mild Lorem Ipsum
1688781,10.4230/LIPIcs.ICALP.2018.124,Accepted,Happy Lorem Ipsum
1695380,10.4230/LIPIcs.ICALP.2018.124,Rejected,Angry Lorem Ipsum
2218155,10.4230/LIPIcs.ICALP.2018.124,Accepted,Mild Lorem Ipsum
1938480,10.1142/S0218195912500045,Accepted,Happy Lorem Ipsum
152705355,10.1142/S0218195912500045,Rejected,Angry Lorem Ipsum
1692146,10.1142/S0218195912500045,Accepted,Mild Lorem Ipsum
34734605,10.1016/j.dam.2016.04.016,Accepted,Happy Lorem Ipsum
2659816,10.1016/j.dam.2016.04.016,Rejected,Angry Lorem Ipsum
144689023,10.1016/j.dam.2016.04.016,Accepted,Mild Lorem Ipsum
1879095,10.1007/s00236-007-0065-9,Accepted,Happy Lorem Ipsum
2636739,10.1007/s00236-007-0065-9,Rejected,Angry Lorem Ipsum
145372049,10.1007/s00236-007-0065-9,Accepted,Mild Lorem Ipsum
121001637,10.1007/978-3-642-04388-8_13,Accepted,Happy Lorem Ipsum
153699350,10.1007/978-3-642-04388-8_13,Rejected,Angry Lorem Ipsum
2122560,10.1007/978-3-642-04388-8_13,Accepted,Mild Lorem Ipsum
2622288,10.1007/978-3-540-87993-0_24,Accepted,Happy Lorem Ipsum
1704076,10.1007/978-3-540-87993-0_24,Rejected,Angry Lorem Ipsum
145646180,10.1007/978-3-540-87993-0_24,Accepted,Mild Lorem Ipsum
2073825,10.1109/ICEIE.2010.5559685,Accepted,Happy Lorem Ipsum
2406802,10.1109/ICEIE.2010.5559685,Rejected,Angry Lorem Ipsum
144716639,10.1109/ICEIE.2010.5559685,Accepted,Mild Lorem Ipsum
3453302,10.3923/ITJ.2010.1706.1712,Accepted,Happy Lorem Ipsum
48389341,10.3923/ITJ.2010.1706.1712,Rejected,Angry Lorem Ipsum
2254368,10.3923/ITJ.2010.1706.1712,Accepted,Mild Lorem Ipsum
22722588,10.1145/1805286.1805291,Accepted,Happy Lorem Ipsum
144502934,10.1145/1805286.1805291,Rejected,Angry Lorem Ipsum
46337795,10.1145/1805286.1805291,Accepted,Mild Lorem Ipsum
144380037,10.1007/s11704-017-7063-z,Accepted,Happy Lorem Ipsum
90269245,10.1007/s11704-017-7063-z,Rejected,Angry Lorem Ipsum
1512138886,10.1007/s11704-017-7063-z,Accepted,Mild Lorem Ipsum
3180382,10.1007/s002360050129,Accepted,Happy Lorem Ipsum
80830659,10.1007/s002360050129,Rejected,Angry Lorem Ipsum
2712330,10.1007/s002360050129,Accepted,Mild Lorem Ipsum
2990076,10.1007/978-0-387-09680-3_21,Accepted,Happy Lorem Ipsum
144828136,10.1007/978-0-387-09680-3_21,Rejected,Angry Lorem Ipsum
3150978,10.1007/978-0-387-09680-3_21,Accepted,Mild Lorem Ipsum
4525036,10.1007/978-3-319-25150-9_15,Accepted,Happy Lorem Ipsum
2248317,10.1007/978-3-319-25150-9_15,Rejected,Angry Lorem Ipsum
153271539,10.1007/978-3-319-25150-9_15,Accepted,Mild Lorem Ipsum
2836218,10.1016/S0304-3975(99)00277-7,Accepted,Happy Lorem Ipsum
5425679,10.1016/S0304-3975(99)00277-7,Rejected,Angry Lorem Ipsum
144799183,10.1016/S0304-3975(99)00277-7,Accepted,Mild Lorem Ipsum
47717546,10.1007/978-3-642-21254-3_10,Accepted,Happy Lorem Ipsum
1705508,10.1007/978-3-642-21254-3_10,Rejected,Angry Lorem Ipsum
1817241,10.1007/978-3-642-21254-3_10,Accepted,Mild Lorem Ipsum
7670212,10.1007/978-3-540-74407-8_2,Accepted,Happy Lorem Ipsum
2770678,10.1007/978-3-540-74407-8_2,Rejected,Angry Lorem Ipsum
1705382,10.1007/978-3-540-74407-8_2,Accepted,Mild Lorem Ipsum
1453113896,10.1007/978-3-662-55751-8_4,Accepted,Happy Lorem Ipsum
143878156,10.1007/978-3-662-55751-8_4,Rejected,Angry Lorem Ipsum
1756164,10.1007/978-3-662-55751-8_4,Accepted,Mild Lorem Ipsum
2567581,10.1007/BF00292115,Accepted,Happy Lorem Ipsum
40076877,10.1007/BF00292115,Rejected,Angry Lorem Ipsum
152733295,10.1007/BF00292115,Accepted,Mild Lorem Ipsum
2346156,10.1007/BF00289161,Accepted,Happy Lorem Ipsum
1693022,10.1007/BF00289161,Rejected,Angry Lorem Ipsum
2693003,10.1007/BF00289161,Accepted,Mild Lorem Ipsum
2114334,10.1007/s002360050081,Accepted,Happy Lorem Ipsum
1715165,10.1007/s002360050081,Rejected,Angry Lorem Ipsum
2049356,10.1007/s002360050081,Accepted,Mild Lorem Ipsum
31684379,10.1016/J.JCTA.2019.01.004,Accepted,Happy Lorem Ipsum
2384284,10.1016/J.JCTA.2019.01.004,Rejected,Angry Lorem Ipsum
1798092,10.1016/J.JCTA.2019.01.004,Accepted,Mild Lorem Ipsum
2834523,10.1016/S0304-3975(00)00156-0,Accepted,Happy Lorem Ipsum
144079588,10.1016/S0304-3975(00)00156-0,Rejected,Angry Lorem Ipsum
17830134,10.1016/S0304-3975(00)00156-0,Accepted,Mild Lorem Ipsum
2205760,10.1007/978-3-319-66396-8_1,Accepted,Happy Lorem Ipsum
1747893,10.1007/978-3-319-66396-8_1,Rejected,Angry Lorem Ipsum
4386031,10.1007/978-3-319-66396-8_1,Accepted,Mild Lorem Ipsum
94594303,10.1007/3-540-45007-6_6,Accepted,Happy Lorem Ipsum
144911319,10.1007/3-540-45007-6_6,Rejected,Angry Lorem Ipsum
143732420,10.1007/3-540-45007-6_6,Accepted,Mild Lorem Ipsum
7161630,10.3233/FI-2018-1722,Accepted,Happy Lorem Ipsum
1411654950,10.3233/FI-2018-1722,Rejected,Angry Lorem Ipsum
1688858,10.3233/FI-2018-1722,Accepted,Mild Lorem Ipsum
33215555,10.3233/FI-1999-381217,Accepted,Happy Lorem Ipsum
2389729,10.3233/FI-1999-381217,Rejected,Angry Lorem Ipsum
1500437703,10.3233/FI-1999-381217,Accepted,Mild Lorem Ipsum
10170851,10.1007/978-3-030-28796-2_4,Accepted,Happy Lorem Ipsum
1701332,10.1007/978-3-030-28796-2_4,Rejected,Angry Lorem Ipsum
3284208,10.1007/978-3-030-28796-2_4,Accepted,Mild Lorem Ipsum
115477525,10.1051/ita/1997310302911,Accepted,Happy Lorem Ipsum
34043035,10.1051/ita/1997310302911,Rejected,Angry Lorem Ipsum
1701597,10.1051/ita/1997310302911,Accepted,Mild Lorem Ipsum
2178258,10.1016/S0304-3975(97)00255-7,Accepted,Happy Lorem Ipsum
1691231,10.1016/S0304-3975(97)00255-7,Rejected,Angry Lorem Ipsum
100887527,10.1016/S0304-3975(97)00255-7,Accepted,Mild Lorem Ipsum
2784826,10.1007/s002360050155,Accepted,Happy Lorem Ipsum
1717527,10.1007/s002360050155,Rejected,Angry Lorem Ipsum
70104819,10.1007/s002360050155,Accepted,Mild Lorem Ipsum
1415116221,10.1007/3-540-46466-2_13,Accepted,Happy Lorem Ipsum
2300795,10.1007/3-540-46466-2_13,Rejected,Angry Lorem Ipsum
40046014,10.1007/3-540-46466-2_13,Accepted,Mild Lorem Ipsum
48707996,10.1007/978-3-662-04058-4,Accepted,Happy Lorem Ipsum
123439096,10.1007/978-3-662-04058-4,Rejected,Angry Lorem Ipsum
1693658,10.1007/978-3-662-04058-4,Accepted,Mild Lorem Ipsum
3292716,10.1016/j.datak.2006.07.007,Accepted,Happy Lorem Ipsum
145826567,10.1016/j.datak.2006.07.007,Rejected,Angry Lorem Ipsum
2168336,10.1016/j.datak.2006.07.007,Accepted,Mild Lorem Ipsum
1902800,10.1016/S0169-023X(03)00061-2,Accepted,Happy Lorem Ipsum
145557467,10.1016/S0169-023X(03)00061-2,Rejected,Angry Lorem Ipsum
3167553,10.1016/S0169-023X(03)00061-2,Accepted,Mild Lorem Ipsum
2433039,10.1007/3-540-48321-7,Accepted,Happy Lorem Ipsum
