authorId,organization,type
32944428,UB,University
145736169,CNL,Company
1729250,CNL,Company
2090763,CNL,Company
145683789,UB,University
145363243,UB,University
7433494,CNL,Company
1717081,CNL,Company
2619084,UPC,University
3248952,CNL,Company
3067732,UB,University
1879916,CNL,Company
47377164,CNL,Company
6213538,UPC,University
144378473,UPC,University
113429046,UB,University
1403025161,UPC,University
1918884,UPC,University
2667957,UB,University
1975823,UPC,University
2377870,UPC,University
144161630,UB,University
83021660,UB,University
1759767,CNL,Company
145187873,UB,University
31952285,CNL,Company
3300452,UB,University
35588042,CNL,Company
1794881,UPC,University
1993470,CNL,Company
3079842,CNL,Company
24033128,UPC,University
48094058,CNL,Company
2821357,UB,University
46506118,CNL,Company
6010052,CNL,Company
144415372,CNL,Company
1703045,UPC,University
2360252,UB,University
1739355,CNL,Company
143634242,UPC,University
1741835,CNL,Company
1731474,CNL,Company
1749995,UB,University
145959553,CNL,Company
144073818,UPC,University
2956645,CNL,Company
34890857,UPC,University
35183874,UPC,University
3998881,CNL,Company
145289652,UPC,University
46592326,CNL,Company
1762196,UB,University
1701623,UPC,University
3412232,UPC,University
1723095,UB,University
2199026,UB,University
2572798,UPC,University
7539122,UB,University
1742753,UB,University
1727987,CNL,Company
2048910,UB,University
46227143,CNL,Company
1747198,UPC,University
34957941,UB,University
101775153,UPC,University
2230675,CNL,Company
144406211,UB,University
2207452,UPC,University
78207914,UPC,University
1714617,UPC,University
1958454,CNL,Company
1739884,UPC,University
1734945,UB,University
2288285,UPC,University
1755835,UPC,University
35341789,UB,University
1715482,UPC,University
1709067,UB,University
52564434,UPC,University
152253993,CNL,Company
1800122,CNL,Company
1698119,UPC,University
39377498,UPC,University
1705375,UB,University
144733218,CNL,Company
1750067,UPC,University
143732420,UB,University
1707518,CNL,Company
2302139,CNL,Company
1682323,UPC,University
145098878,UB,University
2454490,UPC,University
143693711,UB,University
69386206,UPC,University
1678192,UPC,University
1727393,CNL,Company
2510958,UB,University
143720746,UPC,University
1786248,UPC,University
1736032,UB,University
1698576,UB,University
49700186,UPC,University
1784126,UB,University
3093929,CNL,Company
1793146,UPC,University
49942500,UPC,University
2908101,UPC,University
2023681,UB,University
2114240,UPC,University
145963794,CNL,Company
143796696,CNL,Company
